genes;TCGA384625.PTumor;TCGA384625.STNormal;TCGA384626.PTumor;TCGA384626.STNormal;TCGA384627.PTumor;TCGA384627.STNormal;TCGA384632.PTumor;TCGA384632.STNormal
ENSG00000000005;0;9;0;1;3;1;0;1
ENSG00000000419;6725;1993;2745;2787;2014;1708;1628;1094
ENSG00000000457;1173;723;1178;793;724;436;473;322
ENSG00000000460;2273;185;360;194;377;141;511;78
ENSG00000000938;1879;12621;10348;17370;1188;3798;686;2523
ENSG00000000971;4530;5483;9381;2938;13832;6646;570;2171
ENSG00000001036;17205;4087;8888;4493;5920;3466;2096;2826
ENSG00000001084;13163;1499;2227;3127;3128;964;1871;891
ENSG00000001167;2438;1430;2490;1823;1931;1055;963;605
ENSG00000001460;1020;977;864;1278;703;550;301;183
ENSG00000001461;4147;3170;5524;2821;2029;1731;695;1239
ENSG00000001497;6635;2087;3112;1744;2469;1052;733;631
ENSG00000001561;1095;6565;5362;6962;2328;2916;455;1549
ENSG00000001617;2094;2102;3529;2020;1871;2229;449;596
ENSG00000001626;899;3456;6508;1773;1156;1415;193;2507
ENSG00000001629;6266;2033;5180;2113;4371;1589;2152;976
ENSG00000001630;653;643;1154;695;483;438;258;154
ENSG00000001631;3942;1238;2461;1430;1325;767;763;479
ENSG00000002016;683;224;475;199;174;138;193;116
ENSG00000002079;295;7;8;2;3;1;82;0
ENSG00000002330;2957;3359;3237;2858;3091;3126;1570;1116
ENSG00000002549;19621;9278;21282;9128;8136;9151;4168;8109
ENSG00000002586;13489;11346;21546;12230;27230;10974;10232;5868
ENSG00000002587;1080;673;1716;1078;5309;509;683;158
ENSG00000002726;40;79;401;120;5228;70;42;65
ENSG00000002745;130;3;9;5;12;4;1;3
ENSG00000002746;209;27;35;14;369;30;38;7
ENSG00000002822;2573;2281;3414;2154;1451;922;1617;747
ENSG00000002834;29428;15932;27646;17618;25210;12429;5372;6422
ENSG00000002919;3694;2378;2964;2627;2106;2163;1569;1337
ENSG00000002933;3403;1694;6210;1744;7393;3721;1582;1980
ENSG00000003056;15301;7595;13920;8840;6617;4554;3043;5063
ENSG00000003096;40;212;114;238;253;197;16;42
ENSG00000003137;1812;718;908;471;329;176;107;57
ENSG00000003147;2692;1146;3191;1194;1159;640;840;678
ENSG00000003249;2874;337;1203;357;1362;249;1361;102
ENSG00000003393;2176;1277;3366;1340;1364;849;471;541
ENSG00000003400;1710;2089;5784;2902;2161;1482;857;1004
ENSG00000003402;14306;10309;21863;14428;4208;6703;7526;3904
ENSG00000003436;10386;17141;31167;12512;8505;14867;9266;5011
ENSG00000003509;1217;467;1215;681;588;430;642;299
ENSG00000003756;4667;2758;7781;4317;1884;1389;829;1030
ENSG00000003987;110;94;189;150;52;54;37;41
ENSG00000003989;525;2017;3724;6008;1108;1224;1384;608
ENSG00000004059;20124;8226;9180;8330;8791;7666;7170;3673
ENSG00000004139;186;399;1005;344;473;211;125;139
ENSG00000004142;22465;5619;10688;5487;7635;3577;3538;3409
ENSG00000004399;7768;11489;31697;12191;13719;6895;4725;5132
ENSG00000004455;26971;6572;11664;6370;6568;5283;7168;3074
ENSG00000004468;1955;493;3000;1295;335;862;439;749
ENSG00000004478;22785;3517;6278;3010;4210;2692;5993;1805
ENSG00000004487;8381;3008;5698;3364;4472;1800;2243;1190
ENSG00000004534;5077;1865;6547;2348;1124;825;744;723
ENSG00000004660;348;953;1723;1025;302;263;146;285
ENSG00000004700;3889;1280;2370;1204;2362;929;1052;628
ENSG00000004766;3481;1492;2308;1501;1454;1043;647;744
ENSG00000004776;664;4076;3200;2230;1091;2017;55;541
ENSG00000004777;426;123;600;192;61;56;261;29
ENSG00000004779;6267;2750;3375;2932;3551;2834;2764;1562
ENSG00000004799;2474;14021;9733;6534;3702;9077;582;3780
ENSG00000004809;59;31;93;27;26;11;17;16
ENSG00000004838;105;2300;304;4357;542;206;208;337
ENSG00000004846;5;8;187;36;21;7;1;20
ENSG00000004848;6;82;21;84;121;5;282;4
ENSG00000004864;4129;1028;2571;1335;1752;688;1078;531
ENSG00000004866;4639;4574;5582;4237;2145;2384;1351;1718
ENSG00000004897;8496;2720;6597;3157;4799;2372;2500;1667
ENSG00000004939;7;58;53;176;28;68;3;89
ENSG00000004948;17;17;7;5;63;19;1;13
ENSG00000004961;5034;1426;2196;2040;1418;1196;1187;802
ENSG00000004975;5923;2027;2728;1693;2086;1125;585;584
ENSG00000005001;2930;640;2130;1128;597;281;873;157
ENSG00000005007;9531;5632;11646;6545;5345;3246;1535;1776
ENSG00000005020;23383;5368;6534;5662;4802;4829;2276;2132
ENSG00000005022;59237;21537;33323;24495;19614;18206;16922;12575
ENSG00000005059;5044;1036;2667;1565;1747;1279;1275;650
ENSG00000005073;6;2;1;1;24;4;141;0
ENSG00000005075;3722;1794;1977;2149;1881;1382;2040;731
ENSG00000005100;2907;757;2225;738;1135;447;296;423
ENSG00000005102;45;18;31;104;209;85;20;32
ENSG00000005108;217;343;576;191;470;199;212;64
ENSG00000005156;3921;1121;2313;1132;1139;542;1398;434
ENSG00000005175;3269;1093;2183;1263;1405;889;798;622
ENSG00000005187;454;832;3396;784;334;580;566;785
ENSG00000005189;600;130;200;137;165;77;292;88
ENSG00000005194;4314;2437;4684;2622;3451;2340;2029;1382
ENSG00000005206;4676;1421;3485;1488;1827;864;575;533
ENSG00000005238;2512;2119;3845;3752;1236;1274;552;569
ENSG00000005243;916;860;1455;585;3275;861;584;245
ENSG00000005249;193;1131;1367;1170;914;843;315;428
ENSG00000005302;3339;1712;2972;2343;2023;1530;899;795
ENSG00000005339;6407;4636;10343;4420;4049;2056;1041;1406
ENSG00000005379;1984;706;972;752;486;186;292;192
ENSG00000005381;650;129;208;74;47;43;12;133
ENSG00000005421;8;30;46;55;13;5;523;18
ENSG00000005436;2522;773;1501;905;901;740;834;526
ENSG00000005448;1536;1158;838;1637;1192;580;482;284
ENSG00000005469;1371;883;1310;867;1630;722;387;345
ENSG00000005471;47;19;64;26;192;4;29;15
ENSG00000005483;4549;3606;9574;4432;2727;1663;1192;1537
ENSG00000005486;10590;12484;10066;15866;7886;7274;6815;2649
ENSG00000005513;20;7;42;28;59;15;6;11
ENSG00000005700;10724;3077;7628;3684;3822;1979;1487;1719
ENSG00000005801;1597;723;1360;915;887;574;349;427
ENSG00000005810;4792;2126;6202;2346;2318;1202;499;1080
ENSG00000005812;3593;5532;5119;4909;5331;4381;988;2069
ENSG00000005844;1822;5833;2575;7496;1529;2618;563;978
ENSG00000005882;2211;1785;2127;1447;1382;1074;440;646
ENSG00000005884;53629;19959;34402;14561;14235;10857;14560;4789
ENSG00000005889;2847;2119;3572;2108;1787;1340;396;746
ENSG00000005893;33541;16851;22245;18792;21671;10948;8694;8619
ENSG00000005961;130;164;143;191;52;336;70;61
ENSG00000005981;20;80;84;120;84;30;72;65
ENSG00000006007;18000;7475;16011;7381;9394;5156;5104;4225
ENSG00000006015;1655;1738;1717;1722;1321;1526;988;412
ENSG00000006016;160;738;1080;951;4310;444;174;118
ENSG00000006025;815;494;1830;406;511;299;297;234
ENSG00000006042;11754;4539;7221;4008;18264;4805;6817;1982
ENSG00000006047;1912;1;221;11;10;5;20;6
ENSG00000006059;0;1;0;1;0;0;0;0
ENSG00000006062;1051;926;2498;2272;250;589;312;450
ENSG00000006071;29;76;115;68;21;4;2;7
ENSG00000006116;17;1;0;0;1;0;0;0
ENSG00000006118;13789;714;2680;590;4057;980;1690;129
ENSG00000006125;50042;12399;29486;11350;17447;8268;8956;5995
ENSG00000006128;0;0;4;2;0;6;1;11
ENSG00000006194;3189;1627;2514;1457;1749;1015;584;639
ENSG00000006210;1013;7219;5472;8200;13143;9615;5507;3092
ENSG00000006282;6823;2894;7027;3985;3681;2348;2441;1253
ENSG00000006283;47;15;268;38;39;18;14;11
ENSG00000006327;23114;2934;6265;9286;7774;6128;4522;1047
ENSG00000006377;1;0;10;2;7;16;0;0
ENSG00000006432;1025;474;2194;500;477;152;330;196
ENSG00000006451;9327;5968;9181;5398;6677;8583;3012;2712
ENSG00000006453;8085;1534;5199;2462;2948;928;2166;704
ENSG00000006459;2466;1558;3520;1580;1759;1004;446;756
ENSG00000006468;1225;4853;13659;3063;7575;3348;322;1567
ENSG00000006530;5176;1277;2439;1160;1388;879;1050;593
ENSG00000006534;1765;17012;12155;18673;2733;4223;1511;3066
ENSG00000006555;1834;538;884;408;366;172;309;154
ENSG00000006576;2637;1165;2480;2294;3042;1176;2110;772
ENSG00000006606;127;43;24;10;40;9;85;4
