gene	length
ENSG00000000419	1207
ENSG00000000457	6876
ENSG00000000460	6354
ENSG00000000971	8144
ENSG00000001036	3119
ENSG00000001084	8463
ENSG00000001167	3811
ENSG00000001460	8514
ENSG00000001461	9404
ENSG00000001497	5589
ENSG00000001561	4651
ENSG00000001617	4826
ENSG00000001629	7130
ENSG00000001630	4074
ENSG00000001631	6204
ENSG00000002016	4190
ENSG00000002330	1708
ENSG00000002549	3785
ENSG00000002586	3284
ENSG00000002745	3261
ENSG00000002746	13965
ENSG00000002822	6955
ENSG00000002834	7061
ENSG00000002919	3606
ENSG00000003056	3777
ENSG00000003096	6983
ENSG00000003137	5015
ENSG00000003249	3522
ENSG00000003393	10381
ENSG00000003400	7598
ENSG00000003402	22528
ENSG00000003436	11714
ENSG00000003509	3651
ENSG00000003756	10368
ENSG00000003989	7905
ENSG00000004059	1871
ENSG00000004139	8132
ENSG00000004142	2662
ENSG00000004399	9738
ENSG00000004455	5683
ENSG00000004478	3958
ENSG00000004487	5447
ENSG00000004534	7300
ENSG00000004660	7424
ENSG00000004700	3778
ENSG00000004766	7359
ENSG00000004776	1722
ENSG00000004777	5260
ENSG00000004779	1600
ENSG00000004864	3710
ENSG00000004866	6742
ENSG00000004897	6824
ENSG00000004961	2335
ENSG00000004975	5350
ENSG00000005007	8600
ENSG00000005020	5520
ENSG00000005022	1500
ENSG00000005059	3558
ENSG00000005075	962
ENSG00000005100	5872
ENSG00000005156	8240
ENSG00000005175	3343
ENSG00000005189	4111
ENSG00000005194	3509
ENSG00000005206	7096
ENSG00000005238	6409
ENSG00000005243	1847
ENSG00000005249	4318
ENSG00000005302	6494
ENSG00000005339	15068
ENSG00000005436	5465
ENSG00000005448	2860
ENSG00000005469	4979
ENSG00000005471	7494
ENSG00000005483	9227
ENSG00000005486	2441
ENSG00000005700	8722
ENSG00000005801	5705
ENSG00000005810	15943
ENSG00000005812	4651
ENSG00000005882	5481
ENSG00000005884	9802
ENSG00000005889	9037
ENSG00000005893	5617
ENSG00000005955	9729
ENSG00000006007	4412
ENSG00000006015	3370
ENSG00000006016	3018
ENSG00000006025	6572
ENSG00000006042	5187
ENSG00000006062	5132
ENSG00000006114	14277
ENSG00000006118	7271
ENSG00000006125	7797
ENSG00000006128	1888
ENSG00000006194	9329
ENSG00000006282	5237
ENSG00000006283	9709
ENSG00000006327	1848
ENSG00000006451	3665
ENSG00000006453	4798
ENSG00000006459	9430
ENSG00000006468	9686
ENSG00000006530	6547
ENSG00000006534	6621
ENSG00000006576	8631
ENSG00000006607	14413
ENSG00000006625	1905
ENSG00000006634	4583
ENSG00000006638	2793
ENSG00000006652	6481
ENSG00000006695	3172
ENSG00000006704	6498
ENSG00000006712	2668
ENSG00000006715	7801
ENSG00000006740	9281
ENSG00000006744	6345
ENSG00000006756	7030
ENSG00000006757	3441
ENSG00000006831	5878
ENSG00000007047	6668
ENSG00000007080	1660
ENSG00000007168	8127
ENSG00000007202	9235
ENSG00000007237	10100
ENSG00000007255	933
ENSG00000007341	8111
ENSG00000007376	2769
ENSG00000007384	5104
ENSG00000007392	6176
ENSG00000007520	1243
ENSG00000007541	6869
ENSG00000007545	8427
ENSG00000007866	3046
ENSG00000007923	5147
ENSG00000007944	3033
ENSG00000007968	5457
ENSG00000008018	2256
ENSG00000008056	3203
ENSG00000008083	6490
ENSG00000008086	3576
ENSG00000008128	4707
ENSG00000008130	5637
ENSG00000008256	5805
ENSG00000008277	12217
ENSG00000008282	2794
ENSG00000008283	5320
ENSG00000008294	11948
ENSG00000008300	13888
ENSG00000008311	4591
ENSG00000008324	1301
ENSG00000008382	2049
ENSG00000008394	6213
ENSG00000008405	5062
ENSG00000008441	6302
ENSG00000008513	8730
ENSG00000008517	2924
ENSG00000008710	18532
ENSG00000008838	6962
ENSG00000008853	6580
ENSG00000008869	8206
ENSG00000008952	7928
ENSG00000008988	2931
ENSG00000009307	5755
ENSG00000009335	9218
ENSG00000009413	12417
ENSG00000009780	4034
ENSG00000009790	7753
ENSG00000009830	10012
ENSG00000009844	7194
ENSG00000009954	7053
ENSG00000010017	3480
ENSG00000010072	5906
ENSG00000010165	3843
ENSG00000010219	5911
ENSG00000010244	15834
ENSG00000010256	3236
ENSG00000010270	4348
ENSG00000010278	3218
ENSG00000010292	6487
ENSG00000010295	5193
ENSG00000010318	3367
ENSG00000010322	9161
ENSG00000010361	2951
ENSG00000010404	10496
ENSG00000010438	1614
ENSG00000010539	7498
ENSG00000010626	3054
ENSG00000010704	5675
ENSG00000010803	4447
ENSG00000010810	7411
ENSG00000010818	9774
ENSG00000011007	5391
ENSG00000011009	2196
ENSG00000011021	6884
ENSG00000011028	6860
ENSG00000011105	5714
ENSG00000011114	11333
ENSG00000011132	5556
ENSG00000011143	4073
ENSG00000011198	3172
ENSG00000011243	5081
ENSG00000011258	7201
ENSG00000011260	2721
ENSG00000011275	7619
ENSG00000011295	5966
ENSG00000011304	6969
ENSG00000011332	4800
ENSG00000011347	5953
ENSG00000011376	5393
ENSG00000011405	9204
ENSG00000011422	4457
ENSG00000011426	6012
ENSG00000011451	8155
ENSG00000011454	8181
ENSG00000011465	8083
ENSG00000011478	2396
ENSG00000011485	7059
ENSG00000011523	8623
ENSG00000011566	6067
ENSG00000011638	2558
ENSG00000012048	8278
ENSG00000012061	5576
ENSG00000012171	5767
ENSG00000012174	8927
ENSG00000012211	3396
ENSG00000012232	13220
ENSG00000012660	4223
ENSG00000012817	9463
ENSG00000012822	6296
ENSG00000012963	3694
ENSG00000012983	7620
ENSG00000013016	4959
ENSG00000013275	2387
ENSG00000013288	8898
ENSG00000013293	10459
ENSG00000013297	6032
ENSG00000013306	3526
ENSG00000013364	6136
ENSG00000013374	5411
ENSG00000013375	7331
ENSG00000013392	4686
ENSG00000013441	5125
ENSG00000013503	4858
ENSG00000013523	5347
ENSG00000013561	4834
ENSG00000013563	4130
ENSG00000013573	8374
ENSG00000013583	3442
ENSG00000013588	8440
ENSG00000013619	5958
ENSG00000013810	4682
ENSG00000014123	4539
ENSG00000014138	5726
ENSG00000014164	3731
ENSG00000014216	7553
ENSG00000014257	4193
ENSG00000014641	4993
ENSG00000014824	7225
ENSG00000014914	4591
ENSG00000014919	4177
ENSG00000015153	10840
ENSG00000015171	5300
ENSG00000015475	4418
ENSG00000015479	14669
ENSG00000015532	5472
ENSG00000015676	10113
ENSG00000016864	3783
ENSG00000017260	8533
ENSG00000017483	4016
ENSG00000017621	4948
ENSG00000017797	4979
ENSG00000018189	8070
ENSG00000018236	7492
ENSG00000018408	8413
ENSG00000018510	8197
ENSG00000018610	2606
ENSG00000018699	3185
ENSG00000018869	3152
ENSG00000019144	21988
ENSG00000019485	5527
ENSG00000019549	2282
ENSG00000019582	3184
ENSG00000019991	8897
ENSG00000019995	5993
ENSG00000020129	4917
ENSG00000020181	7061
ENSG00000020256	6997
ENSG00000020426	3865
ENSG00000020577	12170
ENSG00000020633	4605
ENSG00000020922	3538
ENSG00000021355	3226
ENSG00000021574	5213
ENSG00000021762	7466
ENSG00000021776	9779
ENSG00000021826	10444
ENSG00000022267	4945
ENSG00000022277	3501
ENSG00000022567	8608
ENSG00000022840	5911
ENSG00000022976	5595
ENSG00000023041	2404
ENSG00000023171	9770
ENSG00000023191	7367
ENSG00000023228	12268
ENSG00000023287	7615
ENSG00000023318	4854
ENSG00000023330	2536
ENSG00000023445	7484
ENSG00000023516	9913
ENSG00000023572	1299
ENSG00000023608	2656
ENSG00000023697	2848
ENSG00000023734	2211
ENSG00000023902	6629
ENSG00000023909	5374
ENSG00000024048	8997
ENSG00000024422	3923
ENSG00000024526	5904
ENSG00000024862	1496
ENSG00000025039	5072
ENSG00000025156	2702
ENSG00000025293	7812
ENSG00000025434	4346
ENSG00000025708	3320
ENSG00000025770	3159
ENSG00000025772	2062
ENSG00000025796	8587
ENSG00000025800	7687
ENSG00000026025	4965
ENSG00000026036	8738
ENSG00000026103	3562
ENSG00000026297	7478
ENSG00000026508	10060
ENSG00000026559	6320
ENSG00000026652	9419
ENSG00000026950	5547
ENSG00000027001	3407
ENSG00000027697	2680
ENSG00000027847	4927
ENSG00000028116	3557
ENSG00000028137	3766
ENSG00000028203	8757
ENSG00000028277	8899
ENSG00000028310	9577
ENSG00000028528	9796
ENSG00000028839	5039
ENSG00000029153	5002
ENSG00000029363	9297
ENSG00000029364	7136
ENSG00000029639	2736
ENSG00000029725	6555
ENSG00000029993	3967
ENSG00000030066	8471
ENSG00000030110	2267
ENSG00000030419	12220
ENSG00000030582	3520
ENSG00000031003	6808
ENSG00000031081	9384
ENSG00000031691	1733
ENSG00000031698	3836
